"First Row: Number of Stations. Section 1: Station Name, Usage, X-coordinate, Y-coordinate. Section 2 (Edges): Station A Name, Station B Name. NOTE: Omitted Mass Ave on Silver Line (repeat name), also St Paul's St on C-line",,,,,
299,,,,,
GuyMoquet,4602495,2327174000,4889222100,,
HavreCaumartin,7661183,2327968000,4887346500,,
Hoche,5040191,2403144000,4889149400,,
HoteldeVille,12621901,2351525000,4885748700,,
Iena,2383490,2293379903,4886446597,,
Invalides,7420581,2314658000,4886076400,,
JacquesBonsergent,2667291,2360606790,4887120050,,
Jasmin,2047639,2267856002,4885189783,,
Jaures,5960472,2370198369,4888179008,,
JavelAndreCitroen,2654991,2278716000,4884616500,,
Jourdain,3474999,2389507592,4887519986,,
JulesJoffrin,4464152,2344781756,4889243737,,
Jussieu,4174050,2355738000,4884605200,,
Kleber,1203757,2293118000,4887113800,,
LaChapelle,6352766,2360287607,4888441111,,
LaCourneuve8Mai1945,5665476,2410668000,4892077700,,
LaDefense,14367265,2240116596,4889129109,,
LaFourche,2816140,2325875000,4888690000,,
LamarckCaulaincourt,0,2338159000,4888913900,,
LaMottePicquetGrenelle,8248998,2298089862,4884914273,,
LaMuette,4328056,2273719311,4885771818,,
LaTourMaubourg,2096559,2310398519,4885766700,,
Laumiere,4582224,2378524000,4888500600,,
LedruRollin,0,2375160456,4885152896,,
LeKremlinBicetre,4360175,2361849000,4881038800,,
LePeletier,2258996,2339548767,4887472003,,
LesAgnettes,2386282,2285891175,4892303856,,
LesGobelins,3603185,2352467000,4883589600,,
LesHalles,17991605,2345972657,4886239620,,
LesSablons,5500065,2272432000,4888096600,,
Liberte,2635279,2407022000,4882588200,,
Liege,1659751,2326983000,4887962600,,
LouisBlanc,2386942,2364839315,4888113745,,
LouiseMichel,3543857,2288073000,4888927300,,
Lourmel,2424840,2281816900,4883860450,,
LouvreRivoli,3174681,2340283000,4886108000,,
Mabillon,1892987,2335321605,4885277499,,
Madeleine,6889442,2325000465,4887048246,,
MairiedeClichy,7129195,2305342555,4890395865,,
MairiedeMontreuil,6517125,2441847000,4886228300,,
MairiedeSaintOuen,3819193,2333752513,4891161864,,
MairiedesLilas,4681803,2416289449,4887978806,,
Mairied'Issy,4413172,2273434000,4882415200,,
Mairied'Ivry,2975244,2383386791,4881112408,,
MaisonBlanche,2043760,2358531000,4882215500,,
MaisonsAlfortLesJuilliottes,2137509,2446432000,4880256700,,
MaisonsAlfortStade,1750437,2436073422,4880868116,,
MalakoffPlateaudeVanves,3735305,2298344672,4882284245,,
MalakoffRueEtienneDolet,1888784,2297301292,4881470258,,
Malesherbes,2601913,2311002000,4888247600,,
